artist_name,title,artist_location,release,hotness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
Raphaël,Je Sais Que La Terre Est Plate,France,Je Sais Que La Terre Est Plate (Deluxe),0.3861516314132549,0.5574602197393447,0.0,148.74077,0.0,-9.636,2008,124.059,22050,0.192,0,0.591,1,0.556,141.607,4,0.372,TRARRZU128F4253CA2
Julie Zenatti,On Efface,,Comme Vous,0.43485958934341257,0.6269577230052118,0.0,252.99546,0.0,-11.061,2004,80.084,22050,0.514,1,0.429,0,0.67,241.424,4,0.533,TRARRJL128F92DED0E
The Baltimore Consort,Howells Delight,,Watkins Ale -  Music of the English Renaissance,0.0,0.42572365804650586,0.0,78.0273,0.0,-24.14,0,54.874,22050,0.974,3,0.0,1,0.0,78.027,4,0.0,TRARRUZ128F9307C57
I Hate Sally,Martha Served,,Don't Worry Lady,0.3345197638116389,0.6114954183523941,0.0,163.63057,0.0,-5.795,2007,77.15,22050,0.0,7,0.38,1,0.385,158.511,3,0.369,TRARRWA128F42A0195
Orlando Pops Orchestra,Zip-A-Dee-Doo-Dah (Song of the South),,Easy Listening: Cartoon Songs,0.3116155449734521,0.3672550107574772,0.0,199.99302,0.0,-16.477,0,120.382,22050,0.0,10,0.551,1,0.528,195.808,4,1.0,TRARRPG12903CD1DE9
Brand X,Liquid Time (composition by John Goodsall),Sikeston, MO,X Communication : Trilogy II,0.3636756770511417,0.6013057514861917,0.0,279.35302,0.0,-12.474,0,99.024,22050,0.433,9,0.519,1,0.491,261.288,4,1.0,TRARRER128F9328521
Amorphis,Misery Path (From the Privilege of Evil),,Karelian Isthmus,0.5535661720707804,0.7090105251029095,0.0,255.03302,0.0,-4.393,0,175.673,22050,0.449,9,0.447,1,0.247,251.275,4,0.0,TRARRYC128F428CCDA
Inoki,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),,Nobiltà di strada,0.44013471201542936,0.5480223990659485,0.0,259.3171,0.0,-5.05,0,87.999,22050,0.223,1,0.194,1,0.436,249.255,4,0.954,TRARROY128F42281F7
Dead Kennedys,Halloween,,Milking The Sacred Cow,0.5392454183492504,0.737037558041999,0.0,216.842,0.0,-4.264,1982,92.897,22050,0.0,10,0.325,1,0.286,213.02,4,0.879,TRARREF128F422FD96
Brigada Victor Jara,Parto em terras distantes,,Novas Vos Trago,0.3581485188029746,0.4359154566223205,0.0,312.99873,0.0,-13.885,1998,86.981,22050,0.0,4,0.669,0,0.638,296.316,5,0.688,TRARRVB128F92F47CA
Atreyu,You Eclipsed By Me (Album Version),Orange County, CA,The Curse,0.5924394855278091,0.8218442551240023,0.0,218.90567,0.0,-4.707,2004,157.715,22050,0.0,0,0.588,0,0.584,209.2,4,0.691,TRARRQO128F427B5F5
Mistress,Shovel,Mass. - Boston,In Disgust We Trust,0.3894988174170211,0.49579693213505177,0.0,580.70159,0.0,-4.523,2005,146.331,22050,5.294,0,0.821,1,0.587,580.702,4,0.479,TRARRMK12903CDF793
Shadows Fall,What Drives The Weak,Boston, MA,The War Within,0.455558796992588,0.733433226583055,0.0,283.48036,0.0,-4.076,2004,84.992,22050,0.113,0,0.489,0,0.596,280.88,4,0.42,TRARUOP12903CF2384
Vanessa Daou,Life Force,,Joe Sent Me,0.40358823765010066,0.5708253226408206,0.0,229.66812,0.0,-19.293,0,79.96,22050,0.276,2,0.162,1,0.483,224.949,3,0.269,TRARURM128F931A91B
Dave Brockie Experience,The Dance Of Europe,,Diarrhea Of A Madman,0.33593551225154833,0.4843337579660785,0.0,135.8624,0.0,-3.312,2001,99.959,22050,0.311,1,0.387,0,0.418,132.888,5,0.902,TRARUDQ128F934B0ED
Spoonie Gee,Spoonie Is Back,New York, NY,The Sugar Hill Records Story,0.42272137011677613,0.618692141580311,0.0,393.63873,0.0,-6.619,0,135.503,22050,0.179,1,0.421,1,0.155,379.478,5,0.677,TRARUHU128F92FDC00
R. Carlos Nakai,Blood Round Dance Song (World),,Changes,0.37693998444161575,0.5772760891324358,0.0,146.33751,0.0,-25.651,1982,104.989,22050,0.347,1,0.027,0,0.415,137.143,1,0.0,TRARUFE128F92F5D21
Linkin Park,Crawling (Album Version),Los Angeles, CA,Hybrid Theory,0.7911430023895633,0.8873860805964897,0.0,208.95302,0.0,-6.052,2000,105.095,22050,3.245,4,0.247,1,0.464,200.969,4,0.873,TRARUTP128E0797FC7
Koffi Olomidé,Bennie,,Les incontournables du Congo,0.31161748493154134,0.4534449307485466,0.0,625.78893,0.0,-7.164,0,89.572,22050,0.343,0,0.66,1,0.585,613.837,5,0.7,TRARUYJ128F9316C65
Alain-François,Playa del sous-sol,,Vivant,0.30091842861713314,0.38031705571596447,0.0,172.01587,0.0,-5.704,0,107.986,22050,0.079,4,0.517,1,0.491,163.358,4,0.273,TRARITF12903CE7DA9
Billy May & His Orchestra,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),,The Original Ballroom Dancing Album,0.39046557975011453,0.42969369102776883,0.0,312.92036,0.0,-10.703,0,103.532,22050,0.223,8,0.054,1,0.377,296.496,1,0.401,TRARIGL128F422B9CE
Phil Collins,I'm Not Moving,Chiswick, London, England,Face Value,0.5783016335967479,0.6559214175882668,0.0,154.93179,0.0,-15.433,1981,100.042,22050,0.107,5,0.682,0,0.672,136.615,4,0.753,TRARIRG128F147FC96
Philippe Sarde,Grand Frère,Neuilly-sur-Seine, France,Princesses / Un Frère,0.34369744996261,0.45567977854361785,0.0,528.22159,0.0,-23.178,0,137.658,22050,2.688,0,0.516,0,0.536,522.606,4,0.056,TRARIMG128F931B45A
Sister Rosetta Tharpe & Marie,Up Above My Head,Cotton Plant, AR,Backline Volume 47,0.36035044785399334,0.553104832920521,0.0,146.80771,0.0,-7.386,2004,80.893,22050,0.281,9,0.425,0,0.41,144.08,4,0.0,TRARIPU128F92FA1E1
Oasis,Columbia,Manchester, England,Supersonic,0.5533936630558898,0.8345640982768509,0.0,324.80608,0.0,-7.588,0,100.146,22050,0.096,2,0.046,1,0.392,314.921,4,1.0,TRARIWH128E079349F
Kiss,Radar For Love,New York, NY,Asylum,0.5867299132778079,0.7730756764142954,0.0,241.08363,0.0,-8.021,0,99.761,22050,0.078,9,0.87,1,0.637,225.216,1,0.0,TRARIIY128F147187D
John Cale,Antarctica Starts Here,Garnant, Wales,Paris s'éveille,0.48165586241245567,0.7493178009614533,0.0,199.96689,0.0,-20.172,1973,110.1,22050,0.45,5,0.785,1,0.609,183.664,4,1.0,TRARIZK128F92FF27A
UFO,Out In The Street (Live) (2008 Digital Remaster),Arizona,Strangers In The Night (Remaster),0.4533990832902461,0.6811302418484678,0.0,314.17424,0.0,-6.763,0,131.5,22050,0.0,2,0.977,1,0.761,314.174,4,0.071,TRARINE128F4280B9C
Back Door Slam,Heavy On My Mind (Album Version),CANADA - Ontario,Roll Away,0.411545813621729,0.5545485497819551,0.0,319.84281,0.0,-4.325,2007,92.971,22050,0.0,3,0.515,0,0.573,312.041,4,0.285,TRARIMP128F933D217
Cool cavemen,Everyone make love,Lille, France,Multipolar,0.22879205843535128,0.5034672212029974,0.0,234.762,0.0,-5.976,0,93.715,22050,0.062,10,0.784,0,0.698,231.422,5,0.826,TRARIKA128F9335A8C
Dave Hollister,Calm Da Seas,LOWELL,Witness Protection,0.45966046322159376,0.6125430036687035,0.0,258.16771,0.0,-5.193,2008,117.936,22050,0.0,11,0.242,1,0.438,249.406,4,1.0,TRARNCP128F42AB2B0
Nestor Torres,Ran Kan Kan,Miami, FL,Mi Alma Latina (My Latin Soul),0.3531562974667231,0.48592128572111515,0.0,191.63383,0.0,-5.648,0,78.843,22050,0.661,7,0.383,1,0.416,186.41,7,0.758,TRARNJN12903CE49F8
